theme_key	word	pos	before	after	note
casa	alfombra	n.f.	La _____ es muy suave.	La _____ es muy suave.	
casa	alquiler	n.m.	El _____ es muy caro.	El _____ es muy caro.	
casa	armario	n.m.	La ropa está en el _____.	La ropa está en el _____.	
casa	barrer	v.	_____ la cocina.	_____ la cocina.	
casa	baño	n.m.	El _____ está al fondo.	El _____ está al fondo.	
casa	bombilla	n.f.	Se ha fundido la _____.	Se ha fundido la _____.	
casa	cajón	n.m.	Las llaves están en el _____.	Las llaves están en el _____.	
casa	cama	n.f.	Voy a hacer la _____.	Voy a hacer la _____.	
casa	casa	n.f.	Estoy en _____.	Estoy en _____.	
casa	cerradura	n.f.	La _____ está atascada.	La _____ está atascada.	
casa	cocina	n.f.	Preparo el café en la _____.	Preparo el café en la _____.	
casa	cortina	n.f.	Corre las _____s.	Corre las _____s.	
casa	cuchara	n.f.	Necesito una _____ para la sopa.	Necesito una _____ para la sopa.	
casa	cuchillo	n.m.	Corta el pan con el _____.	Corta el pan con el _____.	
casa	cómodo	adj.	El sofá es muy _____.	El sofá es muy _____.	
casa	descansar	v.	_____ en el sofá.	_____ en el sofá.	
casa	dormir	v.	_____ ocho horas.	_____ ocho horas.	
casa	dormitorio	n.m.	El _____ da al jardín.	El _____ da al jardín.	
casa	electrodoméstico	n.m.	La cocina tiene muchos _____s.	La cocina tiene muchos _____s.	
casa	enchufe	n.m.	Necesito un _____ para cargar.	Necesito un _____ para cargar.	
casa	escalera	n.f.	Subo por la _____.	Subo por la _____.	
casa	estantería	n.f.	Los libros están en la _____.	Los libros están en la _____.	
casa	fregar	v.	NULL	NULL	
casa	garaje	n.m.	El coche está en el _____.	El coche está en el _____.	
casa	grifo	n.m.	El _____ gotea.	El _____ gotea.	
casa	habitación	n.f.	Mi _____ es pequeña.	Mi _____ es pequeña.	
casa	hogar	n.m.	No hay nada como el _____.	No hay nada como el _____.	
casa	horno	n.m.	El pollo está en el _____.	El pollo está en el _____.	
casa	jardín	n.m.	Comemos en el _____ en verano.	Comemos en el _____ en verano.	
casa	limpiar	v.	_____ la casa los sábados.	_____ la casa los sábados.	
casa	limpio	adj.	La cocina está _____	La cocina está _____	
casa	llave	n.f.	He perdido las _____s.	He perdido las _____s.	
casa	luz	n.f.	Apaga la _____ al salir.	Apaga la _____ al salir.	
casa	mesa	n.f.	Pon los platos en la _____.	Pon los platos en la _____.	
casa	mudarse	v.pron.	Nos _____ el mes que viene.	Nos _____ el mes que viene.	
casa	mueble	n.m.	Montamos un _____ nuevo.	Montamos un _____ nuevo.	
casa	nevera	n.f.	La leche está en la _____.	La leche está en la _____.	
casa	olla	n.f.	La sopa hierve en la _____.	La sopa hierve en la _____.	
casa	ordenar	v.	Tengo que _____ mi cuarto.	Tengo que _____ mi cuarto.	
casa	pared	n.f.	El cuadro está en la _____.	El cuadro está en la _____.	
casa	pasillo	n.m.	El baño está al final del _____.	El baño está al final del _____.	
casa	piso	n.m.	Vivo en un _____ céntrico.	Vivo en un _____ céntrico.	
casa	plato	n.m.	Lava los _____s, por favor.	Lava los _____s, por favor.	
casa	puerta	n.f.	Cierra la _____, hace frío.	Cierra la _____, hace frío.	
casa	ruido	n.m.	Hay mucho _____ en la calle.	Hay mucho _____ en la calle.	
casa	salón	n.m.	Vemos la tele en el _____.	Vemos la tele en el _____.	
casa	sartén	n.f.	Calienta la _____.	Calienta la _____.	
casa	silla	n.f.	Faltan dos _____s.	Faltan dos _____s.	
casa	sofá	n.m.	Me siento en el _____ a leer.	Me siento en el _____ a leer.	
casa	sucio	adj.	El suelo está _____.	El suelo está _____.	
casa	suelo	n.m.	El _____ está mojado.	El _____ está mojado.	
casa	taza	n.f.	Una _____ de café caliente.	Una _____ de café caliente.	
casa	techo	n.m.	La lámpara cuelga del _____.	La lámpara cuelga del _____.	
casa	tender	v.	NULL	NULL	
casa	tenedor	n.m.	Se ha caído el _____.	Se ha caído el _____.	
casa	terraza	n.f.	Tomamos algo en la _____.	Tomamos algo en la _____.	
casa	tranquilo	adj.	Es un barrio _____.	Es un barrio _____.	
casa	vaso	n.m.	Lléname el _____ de agua.	Lléname el _____ de agua.	
casa	vecino	n.m.	Mi _____ es muy amable.	Mi _____ es muy amable.	
casa	ventana	n.f.	Abre la _____ para ventilar.	Abre la _____ para ventilar.	
comida	aceite	n.m.	_____ de oliva virgen.	_____ de oliva virgen.	
comida	agua	n.f.	Un vaso de _____, por favor.	Un vaso de _____, por favor.	
comida	ajo	n.m.	Le pongo _____ a casi todo.	Le pongo _____ a casi todo.	
comida	almuerzo	n.m.	El _____ es a las dos.	El _____ es a las dos.	
comida	amargo	adj.	El café está _____.	El café está _____.	
comida	arroz	n.m.	El _____ está en su punto.	El _____ está en su punto.	
comida	asar	v.	Voy a _____ el pollo.	Voy a _____ el pollo.	
comida	azúcar	n.m.	Sin _____, gracias.	Sin _____, gracias.	
comida	beber	v.	Hay que _____ agua.	Hay que _____ agua.	
comida	bocadillo	n.m.	Me hago un _____ para el trabajo.	Me hago un _____ para el trabajo.	
comida	café	n.m.	Tomo el _____ sin azúcar.	Tomo el _____ sin azúcar.	
comida	caldo	n.m.	Un _____ caliente en invierno.	Un _____ caliente en invierno.	
comida	carne	n.f.	No como _____ los lunes.	No como _____ los lunes.	
comida	cebolla	n.f.	La _____ me hace llorar.	La _____ me hace llorar.	
comida	cena	n.f.	La _____ está lista.	La _____ está lista.	
comida	cenar	v.	_____ pronto en casa.	_____ pronto en casa.	
comida	cerveza	n.f.	¿Una _____ bien fría?	¿Una _____ bien fría?	
comida	cocinar	v.	Me encanta _____ los domingos.	Me encanta _____ los domingos.	
comida	comer	v.	_____ a las dos.	_____ a las dos.	
comida	congelar	v.	_____ el pan que sobra.	_____ el pan que sobra.	
comida	crudo	adj.	La carne está _____ por dentro.	La carne está _____ por dentro.	
comida	desayunar	v.	_____ a las siete.	_____ a las siete.	
comida	desayuno	n.m.	El _____ es la mejor comida.	El _____ es la mejor comida.	
comida	dulce	adj.	Me gusta el café _____.	Me gusta el café _____.	
comida	ensalada	n.f.	De primero, una _____.	De primero, una _____.	
comida	especia	n.f.	Le falta alguna _____.	Le falta alguna _____.	
comida	fresa	n.f.	Las _____s están muy dulces.	Las _____s están muy dulces.	
comida	freír	v.	Voy a _____ el pescado.	Voy a _____ el pescado.	
comida	gamba	n.f.	Las _____s al ajillo están ricas.	Las _____s al ajillo están ricas.	
comida	hambre	n.f.	Tengo mucha _____.	Tengo mucha _____.	
comida	harina	n.f.	La _____ para el pan.	La _____ para el pan.	
comida	hervir	v.	_____ el agua para la pasta.	_____ el agua para la pasta.	
comida	huevo	n.m.	Quiero dos _____s fritos.	Quiero dos _____s fritos.	
comida	jamón	n.m.	Un bocadillo de _____, por favor.	Un bocadillo de _____, por favor.	
comida	leche	n.f.	El niño bebe _____.	El niño bebe _____.	
comida	lechuga	n.f.	La ensalada lleva _____.	La ensalada lleva _____.	
comida	madurar	v.	El plátano aún no ha _____.	El plátano aún no ha _____.	
comida	manzana	n.f.	Como una _____ cada día.	Como una _____ cada día.	
comida	naranja	n.f.	El zumo de _____ está frío.	El zumo de _____ está frío.	
comida	pan	n.m.	Compro _____ por la mañana.	Compro _____ por la mañana.	
comida	pasta	n.f.	Los niños adoran la _____.	Los niños adoran la _____.	
comida	patata	n.f.	Voy a freír unas _____s.	Voy a freír unas _____s.	
comida	pescado	n.m.	El _____ es muy fresco.	El _____ es muy fresco.	
comida	picante	adj.	No me gusta la comida _____.	No me gusta la comida _____.	
comida	pimienta	n.f.	Sal y _____ al gusto.	Sal y _____ al gusto.	
comida	plátano	n.m.	El _____ es mi fruta favorita.	El _____ es mi fruta favorita.	
comida	pollo	n.m.	Cenamos _____ con arroz.	Cenamos _____ con arroz.	
comida	postre	n.m.	¿Qué hay de _____?	¿Qué hay de _____?	
comida	probar	v.	¿Quieres _____ la salsa?	¿Quieres _____ la salsa?	
comida	queso	n.m.	Este _____ huele fuerte.	Este _____ huele fuerte.	
comida	receta	n.f.	Sigo la _____ de mi abuela.	Sigo la _____ de mi abuela.	
comida	rico	adj.	¡Qué _____ está esto!	¡Qué _____ está esto!	
comida	salado	adj.	La sopa está muy _____	La sopa está muy _____	
comida	sed	n.f.	Tengo _____, ¿hay agua?	Tengo _____, ¿hay agua?	
