theme_key	word	pos	example_es
casa	alfombra	n.f.	La alfombra es muy suave.
casa	alquiler	n.m.	El alquiler es muy caro.
casa	armario	n.m.	La ropa está en el armario.
casa	barrer	v.	Barro la cocina.
casa	baño	n.m.	El baño está al fondo.
casa	bombilla	n.f.	Se ha fundido la bombilla.
casa	cajón	n.m.	Las llaves están en el cajón.
casa	cama	n.f.	Voy a hacer la cama.
casa	casa	n.f.	Estoy en casa.
casa	cerradura	n.f.	La cerradura está atascada.
casa	cocina	n.f.	Preparo el café en la cocina.
casa	cortina	n.f.	Corre las cortinas.
casa	cuchara	n.f.	Necesito una cuchara para la sopa.
casa	cuchillo	n.m.	Corta el pan con el cuchillo.
casa	cómodo	adj.	El sofá es muy cómodo.
casa	descansar	v.	Descanso en el sofá.
casa	dormir	v.	Duermo ocho horas.
casa	dormitorio	n.m.	El dormitorio da al jardín.
casa	electrodoméstico	n.m.	La cocina tiene muchos electrodomésticos.
casa	enchufe	n.m.	Necesito un enchufe para cargar.
casa	escalera	n.f.	Subo por la escalera.
casa	estantería	n.f.	Los libros están en la estantería.
casa	fregar	v.	Friego los platos.
casa	garaje	n.m.	El coche está en el garaje.
casa	grifo	n.m.	El grifo gotea.
casa	habitación	n.f.	Mi habitación es pequeña.
casa	hogar	n.m.	No hay nada como el hogar.
casa	horno	n.m.	El pollo está en el horno.
casa	jardín	n.m.	Comemos en el jardín en verano.
casa	limpiar	v.	Limpio la casa los sábados.
casa	limpio	adj.	La cocina está limpia.
casa	llave	n.f.	He perdido las llaves.
casa	luz	n.f.	Apaga la luz al salir.
casa	mesa	n.f.	Pon los platos en la mesa.
casa	mudarse	v.pron.	Nos mudamos el mes que viene.
casa	mueble	n.m.	Montamos un mueble nuevo.
casa	nevera	n.f.	La leche está en la nevera.
casa	olla	n.f.	La sopa hierve en la olla.
casa	ordenar	v.	Tengo que ordenar mi cuarto.
casa	pared	n.f.	El cuadro está en la pared.
casa	pasillo	n.m.	El baño está al final del pasillo.
casa	piso	n.m.	Vivo en un piso céntrico.
casa	plato	n.m.	Lava los platos, por favor.
casa	puerta	n.f.	Cierra la puerta, hace frío.
casa	ruido	n.m.	Hay mucho ruido en la calle.
casa	salón	n.m.	Vemos la tele en el salón.
casa	sartén	n.f.	Calienta la sartén.
casa	silla	n.f.	Faltan dos sillas.
casa	sofá	n.m.	Me siento en el sofá a leer.
casa	sucio	adj.	El suelo está sucio.
casa	suelo	n.m.	El suelo está mojado.
casa	taza	n.f.	Una taza de café caliente.
casa	techo	n.m.	La lámpara cuelga del techo.
casa	tender	v.	Tiendo la ropa fuera.
casa	tenedor	n.m.	Se ha caído el tenedor.
casa	terraza	n.f.	Tomamos algo en la terraza.
casa	tranquilo	adj.	Es un barrio tranquilo.
casa	vaso	n.m.	Lléname el vaso de agua.
casa	vecino	n.m.	Mi vecino es muy amable.
casa	ventana	n.f.	Abre la ventana para ventilar.
comida	aceite	n.m.	Aceite de oliva virgen.
comida	agua	n.f.	Un vaso de agua, por favor.
comida	ajo	n.m.	Le pongo ajo a casi todo.
comida	almuerzo	n.m.	El almuerzo es a las dos.
comida	amargo	adj.	El café está amargo.
comida	arroz	n.m.	El arroz está en su punto.
comida	asar	v.	Voy a asar el pollo.
comida	azúcar	n.m.	Sin azúcar, gracias.
comida	beber	v.	Hay que beber agua.
comida	bocadillo	n.m.	Me hago un bocadillo para el trabajo.
comida	café	n.m.	Tomo el café sin azúcar.
comida	caldo	n.m.	Un caldo caliente en invierno.
comida	carne	n.f.	No como carne los lunes.
comida	cebolla	n.f.	La cebolla me hace llorar.
comida	cena	n.f.	La cena está lista.
comida	cenar	v.	Cenamos pronto en casa.
comida	cerveza	n.f.	¿Una cerveza bien fría?
comida	cocinar	v.	Me encanta cocinar los domingos.
comida	comer	v.	Comemos a las dos.
comida	congelar	v.	Congelo el pan que sobra.
comida	crudo	adj.	La carne está cruda por dentro.
comida	desayunar	v.	Desayuno a las siete.
comida	desayuno	n.m.	El desayuno es la mejor comida.
comida	dulce	adj.	Me gusta el café dulce.
comida	ensalada	n.f.	De primero, una ensalada.
comida	especia	n.f.	Le falta alguna especia.
comida	fresa	n.f.	Las fresas están muy dulces.
comida	freír	v.	Voy a freír el pescado.
comida	gamba	n.f.	Las gambas al ajillo están ricas.
comida	hambre	n.f.	Tengo mucha hambre.
comida	harina	n.f.	La harina para el pan.
comida	hervir	v.	Hierve el agua para la pasta.
comida	huevo	n.m.	Quiero dos huevos fritos.
comida	jamón	n.m.	Un bocadillo de jamón, por favor.
comida	leche	n.f.	El niño bebe leche.
comida	lechuga	n.f.	La ensalada lleva lechuga.
comida	madurar	v.	El plátano aún no ha madurado.
comida	manzana	n.f.	Como una manzana cada día.
comida	naranja	n.f.	El zumo de naranja está frío.
comida	pan	n.m.	Compro pan por la mañana.
comida	pasta	n.f.	Los niños adoran la pasta.
comida	patata	n.f.	Voy a freír unas patatas.
comida	pescado	n.m.	El pescado es muy fresco.
comida	picante	adj.	No me gusta la comida picante.
comida	pimienta	n.f.	Sal y pimienta al gusto.
comida	plátano	n.m.	El plátano es mi fruta favorita.
comida	pollo	n.m.	Cenamos pollo con arroz.
comida	postre	n.m.	¿Qué hay de postre?
comida	probar	v.	¿Quieres probar la salsa?
comida	queso	n.m.	Este queso huele fuerte.
comida	receta	n.f.	Sigo la receta de mi abuela.
comida	rico	adj.	¡Qué rico está esto!
comida	salado	adj.	La sopa está muy salada.
comida	sed	n.f.	Tengo sed, ¿hay agua?
comida	sopa	n.f.	La sopa está caliente.
comida	soso	adj.	Está soso, le falta sal.
comida	ternera	n.f.	Pedí un filete de ternera.
comida	tomate	n.m.	Corto el tomate para la ensalada.
comida	tortilla	n.f.	La tortilla de patatas es típica.
comida	vino	n.m.	Una copa de vino tinto.
comida	zanahoria	n.f.	El conejo come zanahorias.
comida	zumo	n.m.	El zumo está recién hecho.
cuerpo	andar	v.	Ando media hora cada día.
cuerpo	barriga	n.f.	Le duele la barriga.
cuerpo	boca	n.f.	Abre la boca, por favor.
cuerpo	brazo	n.m.	Me duele el brazo derecho.
cuerpo	cabeza	n.f.	Me duele la cabeza.
cuerpo	cadera	n.f.	Se lesionó la cadera.
cuerpo	cansancio	n.m.	Siento mucho cansancio.
cuerpo	cara	n.f.	Tiene una cara simpática.
cuerpo	ceja	n.f.	Se depila las cejas.
cuerpo	cerebro	n.m.	El cerebro humano es complejo.
cuerpo	codo	n.m.	Se apoyó en el codo.
cuerpo	corazón	n.m.	El corazón late rápido.
cuerpo	correr	v.	Corro por el parque.
cuerpo	cuello	n.m.	Lleva una bufanda al cuello.
cuerpo	curarse	v.pron.	Se curó rápido.
cuerpo	dedo	n.m.	Me corté el dedo.
cuerpo	descansar	v.	Necesito descansar un poco.
cuerpo	diente	n.m.	Me lavo los dientes.
cuerpo	doler	v.	Me duele todo el cuerpo.
cuerpo	dolor	n.m.	Siento un dolor fuerte.
cuerpo	enfermo	adj.	Estoy enfermo hoy.
cuerpo	escuchar	v.	Escucha con atención.
cuerpo	espalda	n.f.	Me duele la espalda.
cuerpo	estómago	n.m.	Me duele el estómago.
cuerpo	fiebre	n.f.	El niño tiene fiebre.
cuerpo	frente	n.f.	Tiene la frente ancha.
cuerpo	garganta	n.f.	Me duele la garganta.
cuerpo	herida	n.f.	Se limpió la herida.
cuerpo	hombro	n.m.	Me duele el hombro.
cuerpo	hueso	n.m.	Se rompió un hueso.
cuerpo	labio	n.m.	Tiene los labios secos.
cuerpo	lengua	n.f.	Me mordí la lengua.
cuerpo	levantarse	v.pron.	Me levanto a las siete.
cuerpo	llorar	v.	El bebé llora de noche.
cuerpo	mano	n.f.	Dame la mano.
cuerpo	mejilla	n.f.	El bebé tiene las mejillas rosadas.
cuerpo	mirar	v.	Mira por la ventana.
cuerpo	muñeca	n.f.	Me duele la muñeca.
cuerpo	músculo	n.m.	Estiro los músculos antes de correr.
cuerpo	nariz	n.f.	Me sangra la nariz.
cuerpo	ojo	n.m.	Tiene los ojos azules.
cuerpo	oler	v.	Huele muy bien.
cuerpo	oreja	n.f.	Lleva un pendiente en la oreja.
cuerpo	pecho	n.m.	Siente un dolor en el pecho.
cuerpo	pelo	n.m.	Me voy a cortar el pelo.
cuerpo	pie	n.m.	Tengo los pies fríos.
cuerpo	piel	n.f.	Tiene la piel muy suave.
cuerpo	pierna	n.f.	Cruzó las piernas.
cuerpo	respirar	v.	Respira hondo y relájate.
cuerpo	reír	v.	Nos reímos mucho.
cuerpo	rodilla	n.f.	Se hizo daño en la rodilla.
cuerpo	saltar	v.	El niño salta de alegría.
cuerpo	sangre	n.f.	Doné sangre ayer.
cuerpo	sano	adj.	Lleva una vida sana.
cuerpo	sentarse	v.pron.	Siéntate aquí.
cuerpo	sonreír	v.	Sonríe para la foto.
cuerpo	sudar	v.	Sudo mucho cuando corro.
cuerpo	tobillo	n.m.	Me torcí el tobillo.
cuerpo	tocar	v.	No toques eso.
cuerpo	uña	n.f.	Se pinta las uñas.
esencial	a menudo	adv.	Voy al gimnasio a menudo.
esencial	a pesar de	prep.	Salimos a pesar de la lluvia.
esencial	a veces	adv.	A veces voy al cine solo.
esencial	acabar	v.	Acabo de llegar.
esencial	acaso	adv.	¿Acaso no lo sabías?
esencial	actual	adj.	La situación actual es difícil.
esencial	adecuado	adj.	No es el momento adecuado.
esencial	además	adv.	Además, es muy barato.
esencial	agua	n.f.	¿Puedo beber un poco de agua?
esencial	ahora	adv.	Ahora no puedo hablar.
esencial	ajeno	adj.	No te metas en asuntos ajenos.
esencial	algo	pron.	¿Quieres algo de beber?
esencial	alguien	pron.	¿Hay alguien en casa?
esencial	allí	adv.	El banco está allí.
esencial	amigo	n.m.	Voy al cine con un amigo.
esencial	amplio	adj.	Es una casa amplia y luminosa.
esencial	antes	adv.	Llámame antes de venir.
esencial	apenas	adv.	Apenas lo conozco.
esencial	apoyar	v.	Mi familia siempre me apoya.
esencial	apoyo	n.m.	Gracias por tu apoyo.
esencial	aprovechar	v.	Hay que aprovechar el buen tiempo.
esencial	aquí	adv.	Ven aquí, por favor.
esencial	atreverse	v.pron.	No me atrevo a decírselo.
esencial	aumentar	v.	Los precios han aumentado.
esencial	aumento	n.m.	Hubo un aumento de precios.
esencial	aunque	conj.	Salgo aunque llueva.
esencial	ayer	adv.	Ayer llovió todo el día.
esencial	ayudar	v.	¿Puedes ayudarme?
esencial	año	n.m.	Tengo treinta años.
esencial	barato	adj.	Encontré un hotel barato.
esencial	bastante	adv.	Es bastante fácil.
esencial	bueno	adj.	Es un buen restaurante.
esencial	buscar	v.	Busco mis gafas.
esencial	cada	adj.	Cada día es diferente.
esencial	cambiar	v.	Quiero cambiar de trabajo.
esencial	cansado	adj.	Estoy cansado después del trabajo.
esencial	capaz	adj.	Es capaz de hacerlo solo.
esencial	caro	adj.	Este restaurante es muy caro.
esencial	casa	n.f.	Mi casa está cerca del centro.
esencial	casi	adv.	Ya casi hemos llegado.
esencial	cerca	adv.	Vivo cerca del centro.
esencial	ciudad	n.f.	Vivo en una ciudad grande.
esencial	coche	n.m.	Voy en coche al trabajo.
esencial	comida	n.f.	La comida está muy rica.
esencial	complejo	adj.	Es un problema complejo.
esencial	conocer	v.	¿Conoces a María?
esencial	consciente	adj.	Soy consciente del problema.
esencial	conseguir	v.	Conseguí un buen trabajo.
esencial	convertirse	v.pron.	Se ha convertido en un experto.
esencial	cosa	n.f.	Tengo muchas cosas que hacer.
esencial	cotidiano	adj.	Forma parte de la vida cotidiana.
esencial	dar	v.	¿Me das tu número?
esencial	darse cuenta	v.pron.	Me di cuenta de mi error.
esencial	dato	n.m.	Necesito más datos.
esencial	de hecho	adv.	De hecho, ya lo sabía.
esencial	decir	v.	Siempre dice la verdad.
esencial	dejar	v.	Deja las llaves en la mesa.
esencial	demasiado	adv.	Hace demasiado calor.
esencial	dentro	adv.	Espérame dentro.
esencial	desarrollar	v.	La empresa desarrolla nuevas ideas.
esencial	desarrollo	n.m.	El desarrollo del proyecto va bien.
esencial	después	adv.	Hablamos después.
